Chemicals_ID,Name,length,PMID
D019301,oleic acid,1,[21518217]
D009841,oligonucleotide,6,"[14756881, 10508063, 9929396, 12755716, 18627412, 15870315]"
D009844,oligosaccharides,1,[15490156]
D010755,organic phosphate,1,[12819275]
D006843,organochlorine,6,"[10705541, 10705542, 19682678, 17078975, 11833489, 22751780]"
D006843,organochlorine compounds,1,[20169415]
D009947,organotin,2,"[12387391, 16205985]"
D009952,ornithine,2,"[17753956, 19060085]"
D010710,orthophosphates,1,[18328553]
D062907,oxaloacetate,2,"[9707343, 16348934]"
D010087,oxide,1,[17778805]
C522437,oxosorbiquinol,1,[17551210]
D010100,oxygen,106,"[18503548, 11589226, 15598497, 20406905, 21753044, 20662377, 21535364, 17821563, 22298806, 21151830, 17770148, 12815427, 12459585, 17813734, 11589224, 23049527, 19057844, 10634774, 9092467, 17818162, 17830369, 10325229, 17776858, 20370908, 12732565, 18833277, 13098641, 23239531, 17754037, 4927014, 17778656, 16156735, 22571287, 17426921, 2858294, 17818544, 16136140, 17739401, 20370909, 21829613, 11588258, 32355379, 24391275, 22071347, 28581868, 11543277, 16782605, 20370917, 15265029, 16050043, 21072199, 11786639, 14583508, 18328553, 9707343, 17834718, 17802356, 17730814, 17314978, 11413650, 22993241, 20034233, 16836112, 17581581, 21941585, 22737147, 21966922, 16348799, 11285888, 17811150, 11697251, 10988063, 17158290, 10786948, 20736401, 20665300, 23226143, 20738498, 17166225, 870851, 22469147, 12579377, 11081707, 12917681, 6797451, 11693652, 11760185, 29314949, 17787626, 18762282, 17841714, 12521155, 10719183, 16593650, 5657061, 29304574, 14601411, 17791613, 17774330, 18444999, 11008691, 22957196, 14742457, 15870315, 3697364, 1217300]"
D010758,p,1,[22678287]
D003633,"p,p'-DDE",4,"[12685756, 19682678, 11833489, 23202382]"
D003634,"p,p'-DDT",2,"[12685756, 23202382]"
D020245,p-chloromercuribenzoic acid,1,[9676240]
C495469,p-coumaric acid,1,[19891493]
C010590,p-hydroxyphenylpyruvate,1,[18648877]
C033592,p-nitrophenyl butyrate,1,[21861153]
C031286,p-xylene,2,"[7613006, 18286224]"
C495469,pCA,1,[19891493]
C003043,paraformaldehyde,1,[14711622]
C003181,pectate,1,[9680298]
C059313,pendolmycin,1,[22362652]
C573110,penicilliumin A,1,[22363223]
D010424,pentobarbital,1,[18175939]
D010455,peptides,3,"[17600056, 17576518, 16758861]"
C048856,permanganate,1,[21321442]
C031181,phenanthrene,4,"[19062646, 22260053, 18445026, 18430013]"
C000598831,phenazine,1,[17615672]
D010649,phenylalanine,2,"[17753956, 2882764]"
D010664,phenylmethylsulfonyl fluoride,2,"[18224315, 19888572]"
C063613,phenyltin,2,"[12387391, 16205985]"
C063613,phenyltins,2,"[12387391, 19680591]"
D010710,phosphate,7,"[12443924, 18457109, 21376366, 16945841, 11697249, 10037695, 3697364]"
D010710,phosphates,3,"[18457109, 16592185, 17469254]"
C483858,phosphatidylethanolamine,2,"[16535638, 10705450]"
D010715,phosphatidylglycerol,3,"[16535638, 15964230, 10705450]"
D010716,phosphatidylinositol,1,[15964230]
D010718,phosphatidylserine,2,"[15964230, 10705450]"
D010728,phosphoenol-pyruvate,1,[16347302]
D010728,phosphoenolpyruvate,1,[16347302]
D010743,phospholipid,5,"[1217333, 15964230, 15466569, 10705450, 21518217]"
D010743,phospholipid-,1,[16003476]
D010743,phospholipids,5,"[15694592, 1217333, 15908251, 20549377, 21518217]"
D063065,phosphonate,1,[21687717]
D063065,phosphonates,1,[21687717]
C090013,phosphorite,1,[21376366]
C090013,phosphorites,2,"[21376366, 16592185]"
D010758,phosphorus,13,"[21814288, 21376366, 18217349, 22308450, 21687717, 11697249, 18706891, 17820046, 11760185, 12521155, 19829318, 16794077, 21688032]"
C117268,pimecrolimus,1,[22834904]
D010984,platinum,1,[23129649]
C003169,pluramycin,1,[7623040]
D011005,plutonium,2,"[20403651, 14654285]"
C011083,poly (L-proline),1,[9707343]
C003182,poly(3-hydroxybutyrate),1,[18179545]
C052620,poly(3-hydroxybutyrate-co-3-hydroxyvalerate,1,[18179545]
C016679,polyacrylamide,3,"[9676240, 17660281, 504363]"
C016680,polyacrylamide gel,2,"[504363, 18051271]"
D011073,polyamines,2,"[15265029, 12882969]"
D055768,polybrominated diphenyl ethers,2,"[17078975, 17118876]"
D011078,polychlorinated biphenyl,1,[8060172]
D011078,polychlorinated biphenyls,5,"[10705541, 12398406, 406672, 17078975, 17118876]"
D011084,polycyclic aromatic hydrocarbon,4,"[19873754, 19062646, 18445026, 20228216]"
D011084,polycyclic aromatic hydrocarbons,7,"[23127723, 22260053, 16321403, 18445026, 22717885, 20541320, 18430013]"
D011091,polyesters,1,[18179545]
C003181,polygalacturonic acid,1,[9680298]
C011080,polyglycine,1,[12967265]
D054813,polyhydroxyalkanoates,1,[18179545]
D011107,polylysine,1,[11139082]
D011108,polymer,5,"[10399301, 9836450, 9336897, 8572714, 12147080]"
D011108,polymers,1,[16075348]
D011119,polynucleotide,1,[15870315]
C024617,polyol,1,[12443924]
D011134,polysaccharide,14,"[20398413, 9336897, 10629947, 15388352, 22688244, 15596722, 17015966, 12355321, 12732953, 8572714, 23411445, 22843576, 19353881, 18156275]"
D011134,polysaccharide substances,1,[19190702]
D011134,polysaccharides,8,"[20398413, 9676240, 9336897, 12355321, 9134716, 23411445, 7576347, 10073314]"
D005231,polyunsaturated Fatty acids,1,[16535638]
D005231,polyunsaturated fatty acid,3,"[21695118, 17267951, 16189794]"
D005231,polyunsaturated fatty acids,5,"[16347037, 15694592, 7968276, 20549377, 21518217]"
D011188,potassium,7,"[17769540, 16015263, 19405196, 17809131, 23170083, 12486458, 17742574]"
D011343,procaine HCl,1,[2919826]
D011392,proline,5,"[20233373, 9061967, 17753956, 9707343, 7869380]"
D011422,propionate,3,"[16348934, 7545383, 16758861]"
C497795,pseudostichoposide B,1,[15595615]
D011687,purines,1,[15596722]
D011700,putrescine,1,[12882969]
C030984,pyrene,4,"[23209202, 22260053, 18445026, 18430013]"
C030986,pyrimidine,2,"[15265029, 10037695]"
D011742,pyrimidine nucleotides,2,"[15265029, 11591717]"
D011743,pyrimidines,1,[15596722]
C011342,pyrite,1,[12732565]
D019289,pyruvate,10,"[9103642, 9680332, 16269773, 8863444, 9707343, 12732953, 11963894, 16348934, 7545383, 16758861]"
C517548,pyruvated mannose,1,[8572714]
C004532,quinone,3,"[18684121, 20228216, 18326567]"
D011809,quinones,1,[19060085]
C037904,quinovose,1,[15595615]
D011868,radionuclide,1,[12109476]
D011868,radionuclides,5,"[18986686, 10568278, 12782476, 19362761, 21126753]"
D017382,reactive oxygen species,2,"[20703316, 11076735]"
C052785,rebamipide,1,[20640522]
D012210,rhamnose,3,"[17015966, 19625435, 12147080]"
D012256,riboflavin,1,[22072996]
D012265,ribonucleotide,1,[6206199]
D012293,rifampicin,3,"[10086845, 15784987, 7545383]"
D012293,rifampin,1,[8863444]
C005696,salicin,1,[19625435]
D012965,saline,6,"[19125919, 18082844, 14969445, 17257336, 14649862, 18286224]"
